address,detailUrl,statusType,zipcode,latitude,longitude,price,clean_price,livingarea,status,listingkey,bedrooms,bathrooms
"1031 Charlela Ln, Elk Grove Village, IL",https://www.zillow.com/apartments/elk-grove-village-il/willow-crossing-apartments/5Xt94L/,FOR_RENT,60007,41.995758,-88.02738,,,nan,FOR_RENT,41.995758--88.02738,nan,nan
"908 Ridge Sq, Elk Grove Village, IL",https://www.zillow.com/apartments/elk-grove-village-il/terraces-of-elk-grove/5Xn5fb/,FOR_RENT,60007,42.004044,-87.9909,,,nan,FOR_RENT,42.004044--87.9909,nan,nan
"975 Jefferson Sq, Elk Grove Village, IL",https://www.zillow.com/apartments/elk-grove-village-il/cypress-place/5qBx4S/,FOR_RENT,60007,42.002872,-87.99332,,,nan,FOR_RENT,42.002872--87.99332,nan,nan
"1500A Gibson Dr, Elk Grove Village, IL 60007",https://www.zillow.com/homedetails/1500A-Gibson-Dr-Elk-Grove-Village-IL-60007/2068789414_zpid/,FOR_RENT,60007,42.01164,-88.056335,"$2,200/mo",2200,1137.0,FOR_RENT,2068789414,2.0,1.0
"56 Forest Ln, Elk Grove Village, IL 60007",https://www.zillow.com/homedetails/56-Forest-Ln-Elk-Grove-Village-IL-60007/3456647_zpid/,FOR_RENT,60007,42.02498,-87.98696,"$2,500/mo",2500,1171.0,FOR_RENT,3456647,3.0,1.0
"675 Grove Terrace Vlg #205, Elk Grove Village, IL 60007",https://www.zillow.com/homedetails/675-Grove-Terrace-Vlg-205-Elk-Grove-Village-IL-60007/2067335031_zpid/,FOR_RENT,60007,41.988373,-87.96315,"$1,650/mo",1650,1000.0,FOR_RENT,2067335031,1.0,1.0
"411 Perrie Dr APT 102, Elk Grove Village, IL 60007",https://www.zillow.com/homedetails/411-Perrie-Dr-APT-102-Elk-Grove-Village-IL-60007/2091826566_zpid/,FOR_RENT,60007,42.01939,-87.972374,"$1,550/mo",1550,800.0,FOR_RENT,2091826566,1.0,1.0
"1013 Hartford Ln, Elk Grove Village, IL 60007",https://www.zillow.com/homedetails/1013-Hartford-Ln-Elk-Grove-Village-IL-60007/3465237_zpid/,FOR_RENT,60007,42.001965,-87.980804,"$2,599/mo",2599,1450.0,FOR_RENT,3465237,3.0,2.0
"1713 Vermont Dr #1713, Elk Grove Village, IL 60007",https://www.zillow.com/homedetails/1713-Vermont-Dr-1713-Elk-Grove-Village-IL-60007/446081597_zpid/,FOR_RENT,60007,42.016605,-88.04645,"$2,300/mo",2300,1320.0,FOR_RENT,446081597,2.0,3.0
"724 Michigan Ln, Elk Grove Village, IL 60007",https://www.zillow.com/homedetails/724-Michigan-Ln-Elk-Grove-Village-IL-60007/3440220_zpid/,FOR_RENT,60007,42.004063,-88.0506,"$3,500/mo",3500,2121.0,FOR_RENT,3440220,4.0,3.0
"843 Spring Creek Ct, Elk Grove Village, IL 60007",https://www.zillow.com/homedetails/843-Spring-Creek-Ct-Elk-Grove-Village-IL-60007/3462093_zpid/,FOR_RENT,60007,41.996475,-88.02094,"$2,400/mo",2400,1100.0,FOR_RENT,3462093,2.0,2.0
"991 Charlela Ln, Elk Grove Village, IL",https://www.zillow.com/apartments/elk-grove-village-il/orion-elk-grove/5XjTpK/,FOR_RENT,60007,41.99693,-88.0284,,,nan,FOR_RENT,41.99693--88.0284,nan,nan
