address,detailUrl,statusType,zipcode,latitude,longitude,price,clean_price,livingarea,status,listingkey,bedrooms,bathrooms
"25 W Randolph St, Chicago, IL",https://www.zillow.com/apartments/chicago-il/marquee-at-block-37/65g7KD/,FOR_RENT,60601,41.883717,-87.62866,2362,2362,587.0,FOR_RENT,41.883717--87.62866,0,1.0
"25 W Randolph St, Chicago, IL",https://www.zillow.com/apartments/chicago-il/marquee-at-block-37/65g7KD/,FOR_RENT,60601,41.883717,-87.62866,2135,2135,587.0,FOR_RENT,41.883717--87.62866,0,1.0
"25 W Randolph St, Chicago, IL",https://www.zillow.com/apartments/chicago-il/marquee-at-block-37/65g7KD/,FOR_RENT,60601,41.883717,-87.62866,2428,2428,656.0,FOR_RENT,41.883717--87.62866,0,1.0
"25 W Randolph St, Chicago, IL",https://www.zillow.com/apartments/chicago-il/marquee-at-block-37/65g7KD/,FOR_RENT,60601,41.883717,-87.62866,2224,2224,656.0,FOR_RENT,41.883717--87.62866,0,1.0
"25 W Randolph St, Chicago, IL",https://www.zillow.com/apartments/chicago-il/marquee-at-block-37/65g7KD/,FOR_RENT,60601,41.883717,-87.62866,2299,2299,728.0,FOR_RENT,41.883717--87.62866,0,1.0
"25 W Randolph St, Chicago, IL",https://www.zillow.com/apartments/chicago-il/marquee-at-block-37/65g7KD/,FOR_RENT,60601,41.883717,-87.62866,2532,2532,671.0,FOR_RENT,41.883717--87.62866,0,1.0
"25 W Randolph St, Chicago, IL",https://www.zillow.com/apartments/chicago-il/marquee-at-block-37/65g7KD/,FOR_RENT,60601,41.883717,-87.62866,2348,2348,671.0,FOR_RENT,41.883717--87.62866,0,1.0
"25 W Randolph St, Chicago, IL",https://www.zillow.com/apartments/chicago-il/marquee-at-block-37/65g7KD/,FOR_RENT,60601,41.883717,-87.62866,2417,2417,712.0,FOR_RENT,41.883717--87.62866,0,1.0
"25 W Randolph St, Chicago, IL",https://www.zillow.com/apartments/chicago-il/marquee-at-block-37/65g7KD/,FOR_RENT,60601,41.883717,-87.62866,2448,2448,606.0,FOR_RENT,41.883717--87.62866,0,1.0
"25 W Randolph St, Chicago, IL",https://www.zillow.com/apartments/chicago-il/marquee-at-block-37/65g7KD/,FOR_RENT,60601,41.883717,-87.62866,2444,2444,606.0,FOR_RENT,41.883717--87.62866,0,1.0
"25 W Randolph St, Chicago, IL",https://www.zillow.com/apartments/chicago-il/marquee-at-block-37/65g7KD/,FOR_RENT,60601,41.883717,-87.62866,2507,2507,675.0,FOR_RENT,41.883717--87.62866,0,1.0
"25 W Randolph St, Chicago, IL",https://www.zillow.com/apartments/chicago-il/marquee-at-block-37/65g7KD/,FOR_RENT,60601,41.883717,-87.62866,2541,2541,715.0,FOR_RENT,41.883717--87.62866,1,1.0
"25 W Randolph St, Chicago, IL",https://www.zillow.com/apartments/chicago-il/marquee-at-block-37/65g7KD/,FOR_RENT,60601,41.883717,-87.62866,2693,2693,728.0,FOR_RENT,41.883717--87.62866,1,1.0
"25 W Randolph St, Chicago, IL",https://www.zillow.com/apartments/chicago-il/marquee-at-block-37/65g7KD/,FOR_RENT,60601,41.883717,-87.62866,2850,2850,728.0,FOR_RENT,41.883717--87.62866,1,1.0
"25 W Randolph St, Chicago, IL",https://www.zillow.com/apartments/chicago-il/marquee-at-block-37/65g7KD/,FOR_RENT,60601,41.883717,-87.62866,2728,2728,728.0,FOR_RENT,41.883717--87.62866,1,1.0
"25 W Randolph St, Chicago, IL",https://www.zillow.com/apartments/chicago-il/marquee-at-block-37/65g7KD/,FOR_RENT,60601,41.883717,-87.62866,2862,2862,812.0,FOR_RENT,41.883717--87.62866,1,1.0
"25 W Randolph St, Chicago, IL",https://www.zillow.com/apartments/chicago-il/marquee-at-block-37/65g7KD/,FOR_RENT,60601,41.883717,-87.62866,2947,2947,885.0,FOR_RENT,41.883717--87.62866,1,1.0
"25 W Randolph St, Chicago, IL",https://www.zillow.com/apartments/chicago-il/marquee-at-block-37/65g7KD/,FOR_RENT,60601,41.883717,-87.62866,3264,3264,985.0,FOR_RENT,41.883717--87.62866,1,1.0
"88 E Wacker Pl, Chicago, IL",https://www.zillow.com/apartments/chicago-il/millie-on-michigan/CgGtSf/,FOR_RENT,60601,41.886776,-87.624725,2688,2688,502.0,FOR_RENT,41.886776--87.624725,0,1.0
"88 E Wacker Pl, Chicago, IL",https://www.zillow.com/apartments/chicago-il/millie-on-michigan/CgGtSf/,FOR_RENT,60601,41.886776,-87.624725,2518,2518,502.0,FOR_RENT,41.886776--87.624725,0,1.0
"88 E Wacker Pl, Chicago, IL",https://www.zillow.com/apartments/chicago-il/millie-on-michigan/CgGtSf/,FOR_RENT,60601,41.886776,-87.624725,2618,2618,574.0,FOR_RENT,41.886776--87.624725,0,1.0
"88 E Wacker Pl, Chicago, IL",https://www.zillow.com/apartments/chicago-il/millie-on-michigan/CgGtSf/,FOR_RENT,60601,41.886776,-87.624725,2628,2628,502.0,FOR_RENT,41.886776--87.624725,0,1.0
"88 E Wacker Pl, Chicago, IL",https://www.zillow.com/apartments/chicago-il/millie-on-michigan/CgGtSf/,FOR_RENT,60601,41.886776,-87.624725,3103,3103,590.0,FOR_RENT,41.886776--87.624725,0,1.0
"88 E Wacker Pl, Chicago, IL",https://www.zillow.com/apartments/chicago-il/millie-on-michigan/CgGtSf/,FOR_RENT,60601,41.886776,-87.624725,2788,2788,590.0,FOR_RENT,41.886776--87.624725,0,1.0
"88 E Wacker Pl, Chicago, IL",https://www.zillow.com/apartments/chicago-il/millie-on-michigan/CgGtSf/,FOR_RENT,60601,41.886776,-87.624725,2900,2900,717.0,FOR_RENT,41.886776--87.624725,1,1.0
"88 E Wacker Pl, Chicago, IL",https://www.zillow.com/apartments/chicago-il/millie-on-michigan/CgGtSf/,FOR_RENT,60601,41.886776,-87.624725,2900,2900,782.0,FOR_RENT,41.886776--87.624725,1,1.0
"88 E Wacker Pl, Chicago, IL",https://www.zillow.com/apartments/chicago-il/millie-on-michigan/CgGtSf/,FOR_RENT,60601,41.886776,-87.624725,2965,2965,607.0,FOR_RENT,41.886776--87.624725,1,1.0
"88 E Wacker Pl, Chicago, IL",https://www.zillow.com/apartments/chicago-il/millie-on-michigan/CgGtSf/,FOR_RENT,60601,41.886776,-87.624725,3040,3040,782.0,FOR_RENT,41.886776--87.624725,1,1.0
"88 E Wacker Pl, Chicago, IL",https://www.zillow.com/apartments/chicago-il/millie-on-michigan/CgGtSf/,FOR_RENT,60601,41.886776,-87.624725,3475,3475,723.0,FOR_RENT,41.886776--87.624725,1,1.0
"88 E Wacker Pl, Chicago, IL",https://www.zillow.com/apartments/chicago-il/millie-on-michigan/CgGtSf/,FOR_RENT,60601,41.886776,-87.624725,3135,3135,723.0,FOR_RENT,41.886776--87.624725,1,1.0
"88 E Wacker Pl, Chicago, IL",https://www.zillow.com/apartments/chicago-il/millie-on-michigan/CgGtSf/,FOR_RENT,60601,41.886776,-87.624725,3205,3205,797.0,FOR_RENT,41.886776--87.624725,1,1.0
"88 E Wacker Pl, Chicago, IL",https://www.zillow.com/apartments/chicago-il/millie-on-michigan/CgGtSf/,FOR_RENT,60601,41.886776,-87.624725,3215,3215,702.0,FOR_RENT,41.886776--87.624725,1,1.0
"88 E Wacker Pl, Chicago, IL",https://www.zillow.com/apartments/chicago-il/millie-on-michigan/CgGtSf/,FOR_RENT,60601,41.886776,-87.624725,3285,3285,702.0,FOR_RENT,41.886776--87.624725,1,1.0
"88 E Wacker Pl, Chicago, IL",https://www.zillow.com/apartments/chicago-il/millie-on-michigan/CgGtSf/,FOR_RENT,60601,41.886776,-87.624725,3335,3335,754.0,FOR_RENT,41.886776--87.624725,1,1.0
"88 E Wacker Pl, Chicago, IL",https://www.zillow.com/apartments/chicago-il/millie-on-michigan/CgGtSf/,FOR_RENT,60601,41.886776,-87.624725,3395,3395,754.0,FOR_RENT,41.886776--87.624725,1,1.0
"88 E Wacker Pl, Chicago, IL",https://www.zillow.com/apartments/chicago-il/millie-on-michigan/CgGtSf/,FOR_RENT,60601,41.886776,-87.624725,3365,3365,754.0,FOR_RENT,41.886776--87.624725,1,1.0
"88 E Wacker Pl, Chicago, IL",https://www.zillow.com/apartments/chicago-il/millie-on-michigan/CgGtSf/,FOR_RENT,60601,41.886776,-87.624725,4757,4757,1097.0,FOR_RENT,41.886776--87.624725,2,2.0
"88 E Wacker Pl, Chicago, IL",https://www.zillow.com/apartments/chicago-il/millie-on-michigan/CgGtSf/,FOR_RENT,60601,41.886776,-87.624725,4962,4962,1134.0,FOR_RENT,41.886776--87.624725,2,2.0
"88 E Wacker Pl, Chicago, IL",https://www.zillow.com/apartments/chicago-il/millie-on-michigan/CgGtSf/,FOR_RENT,60601,41.886776,-87.624725,5497,5497,1123.0,FOR_RENT,41.886776--87.624725,2,2.0
"455 E Waterside Dr, Chicago, IL",https://www.zillow.com/apartments/chicago-il/cascade/CjrL9w/,FOR_RENT,60601,41.886917,-87.615364,2171,2171,526.0,FOR_RENT,41.886917--87.615364,0,1.0
"455 E Waterside Dr, Chicago, IL",https://www.zillow.com/apartments/chicago-il/cascade/CjrL9w/,FOR_RENT,60601,41.886917,-87.615364,2350,2350,572.0,FOR_RENT,41.886917--87.615364,0,1.0
"455 E Waterside Dr, Chicago, IL",https://www.zillow.com/apartments/chicago-il/cascade/CjrL9w/,FOR_RENT,60601,41.886917,-87.615364,2648,2648,513.0,FOR_RENT,41.886917--87.615364,0,1.0
"455 E Waterside Dr, Chicago, IL",https://www.zillow.com/apartments/chicago-il/cascade/CjrL9w/,FOR_RENT,60601,41.886917,-87.615364,2790,2790,588.0,FOR_RENT,41.886917--87.615364,1,1.0
"455 E Waterside Dr, Chicago, IL",https://www.zillow.com/apartments/chicago-il/cascade/CjrL9w/,FOR_RENT,60601,41.886917,-87.615364,2580,2580,588.0,FOR_RENT,41.886917--87.615364,1,1.0
"455 E Waterside Dr, Chicago, IL",https://www.zillow.com/apartments/chicago-il/cascade/CjrL9w/,FOR_RENT,60601,41.886917,-87.615364,2622,2622,577.0,FOR_RENT,41.886917--87.615364,1,1.0
"455 E Waterside Dr, Chicago, IL",https://www.zillow.com/apartments/chicago-il/cascade/CjrL9w/,FOR_RENT,60601,41.886917,-87.615364,2925,2925,562.0,FOR_RENT,41.886917--87.615364,1,1.0
"455 E Waterside Dr, Chicago, IL",https://www.zillow.com/apartments/chicago-il/cascade/CjrL9w/,FOR_RENT,60601,41.886917,-87.615364,2686,2686,562.0,FOR_RENT,41.886917--87.615364,1,1.0
"455 E Waterside Dr, Chicago, IL",https://www.zillow.com/apartments/chicago-il/cascade/CjrL9w/,FOR_RENT,60601,41.886917,-87.615364,2948,2948,772.0,FOR_RENT,41.886917--87.615364,1,1.0
"455 E Waterside Dr, Chicago, IL",https://www.zillow.com/apartments/chicago-il/cascade/CjrL9w/,FOR_RENT,60601,41.886917,-87.615364,2730,2730,772.0,FOR_RENT,41.886917--87.615364,1,1.0
