GEOID,GEOG,TOT_POP,WHITE,HISP,BLACK,ASIAN,OTHER,UND5,A5_19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,median_rent
1,Rogers Park,55711,45.0,19.0,24.0,5.0,6.0,6.0,15.0,28.0,22.0,18.0,7.0,3.0,1.0,1209.0
2,West Ridge,79265,40.0,22.0,11.0,21.0,6.0,7.0,23.0,18.0,20.0,19.0,9.0,4.0,2.0,1347.0
77,Edgewater,56099,53.0,15.0,13.0,13.0,5.0,4.0,11.0,30.0,22.0,17.0,9.0,5.0,2.0,1272.0
3,Uptown,57464,53.0,14.0,19.0,10.0,4.0,4.0,8.0,34.0,24.0,18.0,5.0,4.0,2.0,1241.0
4,Lincoln Square,42271,61.0,20.0,4.0,10.0,5.0,6.0,13.0,29.0,27.0,16.0,6.0,3.0,1.0,1507.0
5,North Center,35814,73.0,13.0,2.0,6.0,6.0,9.0,18.0,24.0,29.0,13.0,5.0,2.0,1.0,1737.0
6,Lake View,101739,75.0,10.0,4.0,7.0,4.0,5.0,7.0,47.0,20.0,12.0,5.0,3.0,1.0,1745.0
7,Lincoln Park,69099,79.0,7.0,3.0,7.0,4.0,5.0,13.0,42.0,16.0,14.0,6.0,3.0,1.0,1948.0
8,Near North Side,101208,68.0,7.0,6.0,15.0,4.0,3.0,5.0,44.0,16.0,16.0,10.0,4.0,2.0,2273.0
9,Edison Park,11402,80.0,15.0,0.0,2.0,3.0,8.0,17.0,19.0,18.0,24.0,8.0,5.0,2.0,1674.0
10,Norwood Park,39640.91837625491,70.0,20.0,1.0,7.0,3.0,6.0,19.0,14.0,22.0,19.0,10.0,6.0,4.0,1418.0
11,Jefferson Park,27032,57.0,25.0,2.0,13.0,3.0,6.0,16.0,20.0,22.0,20.0,8.0,5.0,2.0,1340.0
12,Forest Glen,19855,74.0,11.0,1.0,11.0,4.0,7.0,19.0,13.0,23.0,19.0,10.0,5.0,3.0,1946.0
13,North Park,19398,45.0,18.0,3.0,31.0,4.0,10.0,16.0,19.0,19.0,18.0,10.0,5.0,3.0,1177.0
14,Albany Park,47663,34.0,44.0,4.0,15.0,3.0,6.0,17.0,26.0,22.0,17.0,8.0,2.0,1.0,1299.0
